year,famille,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
1981,centre_droite,0.28234362502622096,0.0034323277611071497,0.00440672620046629,0.4144456342615445,0.1786743561512373,0.005438858395299994,0.01249200454765594,0.027746019105826556,0.05800833313804941,0.0033190366237839633,0.0030965861808638423,0.006596433533166026
1981,droite_gaulliste,0.2225430696579606,0.005403676872723137,0.0029493644731626535,0.5146509909300268,0.14885685546390992,0.005025642489024455,0.01190719928613093,0.02494418099352756,0.031240971976697982,0.004312883763765446,0.022499303686373286,0.005665795273297307
1981,ecologistes,0.056620595074491575,0.0015755502342168863,0.002370934149742728,0.10831355081973015,0.04454027928568394,0.0016832090420090633,0.09461508665359968,0.03606598434998887,0.5390785254688429,0.012396842021189514,0.09486531526575466,0.007874104713664565
1981,extreme_droite,0.6393375876877043,0.10942320169674026,0.0002541292953537777,0.0850632437679451,0.008445339393155235,0.09979859246975846,0.008875697753844886,0.019849712961068793,0.0057775516852012114,0.022666544587506603,0.00025412554257652826,0.0002541338834109613
1981,gauche,0.17288862478453665,0.005899766424109283,0.0016248776150485568,0.49847294942127895,0.14186529134931333,0.0011315126908170094,0.010966979772445698,0.09436662865839882,0.0447193221646611,0.0026479747719884684,0.01828073787217042,0.007135284285772393
1981,gauche_radicale,0.060594675097628135,0.0022413781901890737,0.0009987688045570162,0.21635238293322953,0.041178230434452914,0.0010608087300856663,0.1075655498947264,0.30936656013563835,0.05779825715838628,0.0032687902330363694,0.008746623105946828,0.19082794432215575
1988,centre_droite,0.09064969668938909,0.0072945044028752465,0.00352541057049836,0.4557679879965195,0.20338733245061072,0.008632285131872714,0.0030671313255433027,0.02015818368690497,0.15694952256218817,0.00628829017034405,0.04209488668691432,0.002184747117306024
1988,droite_gaulliste,0.06754249280765405,0.010853056431919424,0.0020771270758410893,0.531958717600347,0.23498049202212964,0.011652009485780062,0.004007644637752499,0.007659129945654729,0.09727537913706219,0.002453757297845918,0.027310907629780695,0.0022292431065142225
1988,ecologistes,0.04367615307620283,0.020427601006563885,0.0007610951655633038,0.05082230766822163,0.05500698222922871,0.002611372267849566,0.06422001644179025,0.0229660071546234,0.7117709758735838,0.0016237504855130932,0.016007703719965537,0.010106020250878785
1988,extreme_droite,0.003988297612096299,0.9452540284669156,0.000610330996539396,0.012301538389096388,0.017087288234649813,0.002959507867189008,0.0012260969618319163,0.0021070686110121373,0.0035610312688232216,0.001443262817295466,0.008597240810858848,0.0008645220733232346
1988,gauche,0.04299397821887396,0.004671042712414356,0.0015836183053485502,0.6612373971955345,0.11919884718040051,0.003967650921900901,0.001853674224611464,0.029783347198550976,0.11932953934649113,0.009576388109994225,0.0033758595443565543,0.0024286041323899428
1988,gauche_radicale,0.035184988044832645,0.007617771769697996,0.003345998674471932,0.14515696885072285,0.057927562247072135,0.0017702949101394334,0.010585001327331534,0.6681916383326094,0.05919546656880093,0.0011571589457363184,0.003867948538463277,0.005999159660290251
1993,centre_droite,0.0942117517480831,0.008446328208518854,0.004501873398830063,0.2897682292020617,0.12315122905133061,0.027751039486532066,0.0056344579040472,0.027130066302920166,0.3748071258398625,0.0035874732209925484,0.03735896653238744,0.0036514559050912646
1993,droite_gaulliste,0.08579550588910934,0.0085479329506162,0.003331143084293858,0.47324815574059836,0.11195826476335448,0.041264575755800496,0.003151441664753675,0.01271400933070258,0.23799692250477592,0.0027428856801832934,0.01724643741486258,0.0020027032165070243
1993,ecologistes,0.012238008824388793,0.001452129205130235,0.002197175697315951,0.014501413639414599,0.02341684613749528,0.4077943420442063,0.005453519151117278,0.013990620993830567,0.508319856052279,0.0016745488019376238,0.007395685254527122,0.0015657986985864888
1993,extreme_droite,0.01919742597574343,0.02211484260576215,0.001724473774499659,0.021411945189983916,0.047360131959913704,0.8379108947010145,0.003609961061130425,0.006802773999904866,0.021793935523239126,0.002287896716584628,0.013313746589745434,0.0024718351349505142
1993,gauche,0.08054976864350573,0.004217855094723815,0.0029065907498757554,0.31680068944575857,0.10233196635159165,0.007140012361528076,0.006619372827095805,0.08330101138403599,0.381682887963383,0.003051535336405091,0.009255570258353506,0.0021427085003354065
1993,gauche_radicale,0.01638229582956183,0.004214539221204744,0.27754258250750025,0.0797339950935325,0.016220716149895727,0.008218448756370131,0.036308385670204626,0.41677787040953906,0.13688664836910525,0.0025249350623430763,0.002820352089478349,0.0023691535448793367
