mot,cos_1978,jacc_1978,cos_1981,jacc_1981,cos_1988,jacc_1988,cos_1993,jacc_1993,drift_moyen
consister,0.6152,1.0,0.6296,0.8889,0.6649,1.0,0.7007,1.0,0.6526
succéder,0.6486,1.0,0.6318,1.0,0.6211,1.0,0.7052,1.0,0.6517
complet,0.5048,1.0,0.6171,1.0,0.7396,1.0,0.7419,1.0,0.6508
brun,0.5465,0.9474,0.6037,1.0,0.5947,1.0,0.8584,0.9474,0.6508
tirer,0.6081,1.0,0.6514,1.0,0.6508,1.0,0.6921,0.9474,0.6506
ardeur,0.6358,1.0,0.6515,1.0,0.6312,1.0,0.6823,0.9474,0.6502
hésiter,0.6636,1.0,0.6373,0.8889,0.634,1.0,0.6653,1.0,0.6501
aisne,0.7247,0.9474,0.7162,0.9474,0.4843,0.9474,0.675,1.0,0.65
séparer,0.6091,0.9474,0.6037,1.0,0.5323,1.0,0.8526,1.0,0.6494
valoir,0.6413,0.9474,0.5646,1.0,0.7909,0.9474,0.6009,0.9474,0.6494
enrichir,0.6286,1.0,0.6427,0.9474,0.7418,1.0,0.5829,1.0,0.649
faute,0.6993,0.9474,0.6378,0.9474,0.7084,1.0,0.5497,1.0,0.6488
saisir,0.6252,0.8235,0.6447,0.8889,0.8042,0.8889,0.5205,0.9474,0.6486
évidence,0.6577,1.0,0.7119,1.0,0.6776,1.0,0.5425,1.0,0.6474
couche,0.4998,0.8889,0.6375,0.8889,0.6338,1.0,0.816,1.0,0.6468
circonstance,0.5181,1.0,0.7964,1.0,0.6218,1.0,0.6497,1.0,0.6465
cherche,0.5844,1.0,0.5781,1.0,0.7365,1.0,0.6851,1.0,0.646
dégager,0.6532,1.0,0.6788,1.0,0.629,0.9474,0.6219,1.0,0.6457
conquête,0.753,1.0,0.6532,1.0,0.6561,1.0,0.52,1.0,0.6456
interroger,0.5793,0.9474,0.6159,1.0,0.7108,1.0,0.6746,1.0,0.6451
moreau,0.5879,0.9474,0.7119,1.0,0.5819,0.9474,0.6989,0.9474,0.6451
suffire,0.5868,1.0,0.6527,1.0,0.8215,1.0,0.5193,1.0,0.6451
xavier,0.5931,0.8235,0.677,1.0,0.662,1.0,0.6479,1.0,0.645
entretenir,0.6066,1.0,0.5234,1.0,0.7066,1.0,0.7424,1.0,0.6448
peur,0.4503,1.0,0.6871,1.0,0.7509,1.0,0.6895,1.0,0.6445
approuver,0.6147,1.0,0.5591,1.0,0.6351,1.0,0.7678,1.0,0.6442
combattre,0.556,1.0,0.7928,1.0,0.5483,1.0,0.6782,1.0,0.6438
accompagner,0.5718,1.0,0.6061,1.0,0.6262,1.0,0.7689,1.0,0.6432
départ,0.4657,0.9474,0.6703,1.0,0.7227,1.0,0.7135,1.0,0.6431
didier,0.6734,1.0,0.6002,1.0,0.6175,1.0,0.681,1.0,0.643
raciste,0.6313,1.0,0.6379,1.0,0.5902,0.9474,0.7123,1.0,0.6429
résigner,0.6213,1.0,0.6887,0.9474,0.6564,1.0,0.605,1.0,0.6428
assistance,0.5617,1.0,0.7103,1.0,0.6532,1.0,0.6437,1.0,0.6422
catherine,0.6344,0.9474,0.5908,1.0,0.6355,1.0,0.7082,0.9474,0.6422
écarter,0.6691,1.0,0.5464,1.0,0.6574,1.0,0.6943,1.0,0.6418
justifier,0.6155,1.0,0.6449,1.0,0.6586,1.0,0.6482,1.0,0.6418
livre,0.5097,1.0,0.7351,1.0,0.6253,1.0,0.6937,1.0,0.641
redresser,0.6332,0.9474,0.7141,0.9474,0.5888,1.0,0.6274,1.0,0.6409
souffle,0.6913,0.9474,0.6082,1.0,0.7281,1.0,0.5347,1.0,0.6406
opposer,0.5592,0.9474,0.6707,0.9474,0.7645,1.0,0.568,1.0,0.6406
affaiblir,0.764,1.0,0.5708,1.0,0.6805,1.0,0.5473,1.0,0.6406
rupture,0.5255,1.0,0.6778,1.0,0.7513,1.0,0.6069,1.0,0.6404
constater,0.6163,1.0,0.596,1.0,0.6817,1.0,0.6669,1.0,0.6402
avancer,0.6148,1.0,0.7013,1.0,0.6511,1.0,0.5922,1.0,0.6399
vague,0.6204,0.9474,0.6046,0.9474,0.7126,1.0,0.6215,0.9474,0.6398
évident,0.5624,1.0,0.5989,0.9474,0.7124,1.0,0.6845,0.9474,0.6396
instance,0.5448,0.8235,0.7885,1.0,0.5574,0.75,0.6679,1.0,0.6396
suffisamment,0.5733,0.9474,0.7002,1.0,0.6255,1.0,0.6587,1.0,0.6394
impression,0.5775,1.0,0.5599,1.0,0.7173,1.0,0.7027,1.0,0.6393
survie,0.5361,1.0,0.6062,1.0,0.7373,1.0,0.6758,0.9474,0.6388
satisfaction,0.6213,0.9474,0.4817,1.0,0.6919,1.0,0.7589,1.0,0.6384
retirer,0.6148,1.0,0.6116,1.0,0.6754,1.0,0.6509,1.0,0.6382
parvenir,0.5351,1.0,0.7432,1.0,0.6156,1.0,0.6583,1.0,0.638
attirer,0.6141,0.8889,0.624,0.9474,0.6903,0.9474,0.6227,0.9474,0.6378
fête,0.5199,0.8889,0.7331,0.9474,0.6563,1.0,0.6407,1.0,0.6375
porteur,0.5767,0.8889,0.5933,0.8889,0.6796,0.8889,0.7002,0.8889,0.6375
réussite,0.6643,1.0,0.7508,1.0,0.5756,1.0,0.5594,1.0,0.6375
jura,0.6796,1.0,0.6353,1.0,0.5694,1.0,0.6634,0.9474,0.6369
mayenne,0.5995,0.9474,0.7148,1.0,0.6599,1.0,0.5713,0.8889,0.6364
tard,0.5662,0.9474,0.6854,1.0,0.6771,0.9474,0.6165,0.9474,0.6363
ardenne,0.5954,0.9474,0.7005,1.0,0.6092,0.9474,0.6373,0.9474,0.6356
destruction,0.5839,1.0,0.5622,1.0,0.7435,1.0,0.6515,1.0,0.6353
authentique,0.7035,0.9474,0.7212,0.8889,0.6334,1.0,0.4826,1.0,0.6352
écart,0.5075,0.8889,0.6447,0.9474,0.7503,1.0,0.638,1.0,0.6351
chercher,0.5652,1.0,0.6924,1.0,0.5339,1.0,0.7482,1.0,0.6349
chantier,0.5741,1.0,0.6412,1.0,0.6908,0.9474,0.6328,1.0,0.6347
chasser,0.4874,1.0,0.52,1.0,0.7919,1.0,0.7382,1.0,0.6344
base,0.5357,1.0,0.6412,1.0,0.6869,1.0,0.6732,1.0,0.6343
banque,0.4796,0.9474,0.6085,0.8889,0.7422,1.0,0.7059,0.9474,0.634
basque,0.5469,0.8889,0.6655,0.9474,0.6405,0.9474,0.6828,0.8889,0.6339
horizon,0.7181,1.0,0.6006,1.0,0.5812,1.0,0.6356,1.0,0.6339
harmonie,0.6176,1.0,0.732,1.0,0.5623,0.9474,0.6226,1.0,0.6336
montpellier,0.5546,0.8235,0.4907,0.9474,0.8026,0.9474,0.6847,0.9474,0.6331
laurent,0.528,0.8235,0.7,0.9474,0.6999,1.0,0.6022,0.9474,0.6325
intégrer,0.6842,1.0,0.6568,1.0,0.6667,1.0,0.5215,0.8889,0.6323
contribuable,0.4662,0.9474,0.6434,0.9474,0.8197,1.0,0.5994,0.8889,0.6322
nièvre,0.5361,0.9474,0.7239,1.0,0.6194,0.9474,0.6492,1.0,0.6321
règle,0.5447,1.0,0.6435,1.0,0.7203,1.0,0.6194,1.0,0.632
discours,0.6865,1.0,0.5849,1.0,0.6677,1.0,0.5885,1.0,0.6319
triompher,0.4944,0.9474,0.7205,1.0,0.6798,0.9474,0.6323,1.0,0.6318
faiblesse,0.5266,1.0,0.6131,1.0,0.7473,1.0,0.6399,1.0,0.6317
corps,0.5477,1.0,0.6903,1.0,0.5913,1.0,0.6974,1.0,0.6317
certainement,0.6874,1.0,0.6455,0.9474,0.6443,0.9474,0.5487,1.0,0.6315
gaston,0.5976,1.0,0.605,1.0,0.734,1.0,0.588,0.75,0.6312
roux,0.5968,1.0,0.6592,0.9474,0.6351,1.0,0.6324,0.9474,0.6309
renault,0.5896,0.9474,0.6781,1.0,0.6228,1.0,0.6332,1.0,0.6309
financer,0.7096,1.0,0.5222,0.8889,0.6165,0.9474,0.6733,1.0,0.6304
sociau,0.5262,0.9474,0.6332,0.9474,0.6128,1.0,0.7491,1.0,0.6303
attente,0.5336,0.9474,0.6799,0.9474,0.6281,0.9474,0.6798,0.9474,0.6303
compromettre,0.524,1.0,0.5992,1.0,0.8497,1.0,0.5478,1.0,0.6302
reprise,0.625,1.0,0.5997,1.0,0.5925,1.0,0.7034,1.0,0.6302
affirmer,0.5381,0.9474,0.6595,1.0,0.6317,0.9474,0.6909,1.0,0.63
agence,0.4911,1.0,0.7304,1.0,0.6726,1.0,0.6254,1.0,0.6299
double,0.4684,1.0,0.725,1.0,0.6414,1.0,0.6845,1.0,0.6298
bataille,0.6396,0.9474,0.5312,0.9474,0.5317,1.0,0.8161,1.0,0.6296
caractère,0.5703,0.9474,0.6945,1.0,0.6506,1.0,0.6029,1.0,0.6296
civil,0.5944,0.9474,0.6208,0.9474,0.7008,0.9474,0.6017,0.8889,0.6294
étape,0.503,1.0,0.5956,1.0,0.7347,1.0,0.684,1.0,0.6293
scandaleux,0.5178,1.0,0.5813,1.0,0.5279,1.0,0.89,1.0,0.6293
vigueur,0.4994,0.9474,0.7951,1.0,0.6151,1.0,0.6071,1.0,0.6292
vieux,0.6557,1.0,0.5667,1.0,0.6604,1.0,0.6318,1.0,0.6287
tulle,0.5269,0.9474,0.6835,0.8889,0.6774,0.8889,0.6248,0.8889,0.6282
rouge,0.5865,0.8889,0.6555,1.0,0.6439,1.0,0.6261,1.0,0.628
tomber,0.7123,0.9474,0.6411,1.0,0.5363,0.9474,0.6207,1.0,0.6276
faux,0.5951,1.0,0.5852,1.0,0.6776,1.0,0.6523,1.0,0.6275
populaire,0.6135,1.0,0.6365,1.0,0.6314,1.0,0.628,1.0,0.6274
instant,0.6616,0.9474,0.6464,1.0,0.5491,0.9474,0.6522,1.0,0.6273
davantage,0.5706,1.0,0.6678,1.0,0.6291,1.0,0.6401,1.0,0.6269
attaquer,0.5096,0.9474,0.6805,1.0,0.6509,1.0,0.6663,1.0,0.6268
crime,0.5824,1.0,0.7011,1.0,0.6128,1.0,0.6107,1.0,0.6268
estimer,0.6408,1.0,0.6218,1.0,0.6803,1.0,0.5644,1.0,0.6268
mobiliser,0.5016,0.9474,0.5598,0.9474,0.7471,1.0,0.6979,1.0,0.6266
vendée,0.6961,1.0,0.5682,1.0,0.6874,0.9474,0.5541,1.0,0.6265
rythme,0.5973,1.0,0.6477,0.9474,0.5677,1.0,0.6932,1.0,0.6265
parfaitement,0.6624,1.0,0.5902,1.0,0.6105,1.0,0.6408,1.0,0.626
obligatoire,0.5456,1.0,0.6951,1.0,0.6484,1.0,0.6127,1.0,0.6254
dumont,0.5556,0.8889,0.657,1.0,0.6826,1.0,0.6064,0.8889,0.6254
obligation,0.5256,1.0,0.5854,1.0,0.679,1.0,0.7098,1.0,0.6249
scientifique,0.5507,0.9474,0.6068,0.9474,0.6047,0.8889,0.7363,0.9474,0.6246
aspect,0.6824,0.9474,0.5708,1.0,0.6468,1.0,0.598,1.0,0.6245
collègue,0.5666,0.9474,0.5704,0.8889,0.7743,1.0,0.5865,1.0,0.6245
éliminer,0.5647,1.0,0.5908,1.0,0.5371,1.0,0.8047,1.0,0.6243
appuyer,0.5795,1.0,0.5376,0.9474,0.6303,1.0,0.7479,1.0,0.6238
sentir,0.5947,1.0,0.6477,1.0,0.5753,0.9474,0.6764,1.0,0.6235
détenir,0.6017,1.0,0.6384,1.0,0.5572,0.8889,0.6942,0.9474,0.6229
sorte,0.7072,1.0,0.6841,1.0,0.5478,1.0,0.5516,1.0,0.6227
tendre,0.4524,1.0,0.6429,1.0,0.7875,1.0,0.6069,1.0,0.6224
impliquer,0.5461,1.0,0.5821,1.0,0.6937,1.0,0.6672,1.0,0.6223
cacher,0.5549,0.9474,0.691,0.9474,0.704,1.0,0.5387,1.0,0.6222
inquiéter,0.7558,1.0,0.5462,1.0,0.5923,1.0,0.593,1.0,0.6218
ouverture,0.5468,0.9474,0.5814,1.0,0.7229,1.0,0.6346,1.0,0.6214
visage,0.5462,0.8889,0.6121,0.9474,0.7687,1.0,0.5584,1.0,0.6214
pascal,0.6845,1.0,0.633,0.9474,0.5825,0.9474,0.5856,0.9474,0.6214
domination,0.6376,0.8889,0.6911,0.9474,0.5545,1.0,0.6018,0.9474,0.6212
entrepreneur,0.5848,0.75,0.6014,0.8235,0.6515,0.8235,0.6463,0.8235,0.621
obstacle,0.5474,0.8889,0.5899,0.9474,0.6215,0.9474,0.7244,0.9474,0.6208
amener,0.5669,1.0,0.5828,1.0,0.7083,1.0,0.6247,1.0,0.6207
martine,0.542,1.0,0.6594,1.0,0.6583,1.0,0.6227,1.0,0.6206
reprendre,0.6422,1.0,0.6442,1.0,0.6353,0.9474,0.5596,1.0,0.6203
exiger,0.6166,1.0,0.6179,1.0,0.5891,1.0,0.6577,1.0,0.6203
affirmation,0.6599,1.0,0.5889,1.0,0.6444,0.9474,0.5882,1.0,0.6203
gouvernemental,0.5283,1.0,0.5722,0.9474,0.6862,0.9474,0.6946,1.0,0.6203
